tenure,age,income,ed,employ,longmon,custcat,churn
11.0,33.0,136.0,5.0,5.0,4.4,4.0,1.0
33.0,33.0,33.0,2.0,0.0,9.45,1.0,1.0
23.0,30.0,30.0,1.0,2.0,6.3,3.0,0.0
38.0,35.0,76.0,2.0,10.0,6.05,4.0,0.0
7.0,35.0,80.0,2.0,15.0,7.1,3.0,0.0
68.0,52.0,120.0,1.0,24.0,20.7,1.0,0.0
42.0,40.0,37.0,2.0,8.0,8.25,4.0,0.0
9.0,21.0,17.0,2.0,2.0,2.9,1.0,0.0
35.0,50.0,140.0,2.0,21.0,6.5,3.0,0.0
49.0,51.0,63.0,4.0,19.0,12.85,2.0,0.0
56.0,52.0,49.0,2.0,12.0,24.75,2.0,0.0
47.0,40.0,127.0,4.0,12.0,19.7,2.0,0.0
56.0,50.0,80.0,2.0,24.0,28.8,4.0,0.0
69.0,51.0,438.0,4.0,23.0,29.0,4.0,0.0
16.0,27.0,37.0,3.0,5.0,6.0,1.0,0.0
4.0,35.0,161.0,5.0,6.0,3.4,4.0,1.0
27.0,51.0,80.0,5.0,11.0,7.1,2.0,0.0
52.0,61.0,53.0,5.0,1.0,12.25,2.0,0.0
64.0,25.0,76.0,3.0,2.0,24.05,3.0,0.0
12.0,24.0,19.0,1.0,0.0,4.0,3.0,1.0
35.0,61.0,41.0,2.0,11.0,9.6,1.0,0.0
13.0,54.0,31.0,4.0,2.0,5.85,1.0,0.0
45.0,22.0,36.0,4.0,0.0,9.95,2.0,1.0
3.0,37.0,24.0,1.0,3.0,2.0,1.0,0.0
53.0,22.0,25.0,4.0,0.0,12.05,2.0,0.0
17.0,42.0,131.0,5.0,6.0,5.8,2.0,1.0
59.0,43.0,101.0,2.0,22.0,13.65,2.0,0.0
57.0,37.0,108.0,4.0,9.0,21.8,3.0,0.0
3.0,24.0,20.0,2.0,3.0,3.35,3.0,0.0
4.0,47.0,123.0,4.0,11.0,2.5,1.0,0.0
29.0,26.0,34.0,1.0,7.0,6.5,3.0,0.0
64.0,55.0,104.0,1.0,26.0,15.0,3.0,0.0
22.0,34.0,46.0,3.0,1.0,7.1,2.0,0.0
33.0,54.0,57.0,4.0,4.0,7.5,3.0,1.0
18.0,69.0,58.0,3.0,8.0,6.35,4.0,0.0
65.0,65.0,128.0,3.0,24.0,21.2,3.0,0.0
39.0,24.0,26.0,2.0,4.0,10.4,1.0,1.0
28.0,29.0,23.0,3.0,5.0,3.7,2.0,0.0
46.0,42.0,52.0,4.0,7.0,14.25,2.0,0.0
43.0,43.0,55.0,4.0,18.0,9.1,4.0,0.0
21.0,29.0,40.0,4.0,2.0,4.5,1.0,0.0
53.0,57.0,37.0,1.0,7.0,7.7,2.0,0.0
50.0,52.0,36.0,4.0,16.0,11.95,4.0,0.0
43.0,21.0,25.0,1.0,4.0,7.6,2.0,1.0
33.0,33.0,42.0,4.0,7.0,8.8,2.0,0.0
45.0,66.0,144.0,2.0,13.0,7.75,2.0,0.0
28.0,57.0,82.0,4.0,22.0,4.05,2.0,1.0
37.0,33.0,102.0,2.0,12.0,16.3,4.0,0.0
71.0,56.0,170.0,1.0,30.0,14.2,4.0,0.0
58.0,58.0,96.0,2.0,17.0,12.5,3.0,0.0
36.0,58.0,80.0,1.0,21.0,8.5,2.0,0.0
26.0,39.0,58.0,4.0,9.0,8.65,3.0,0.0
13.0,43.0,123.0,3.0,21.0,3.85,4.0,0.0
28.0,40.0,64.0,1.0,19.0,6.0,3.0,0.0
1.0,21.0,18.0,3.0,0.0,2.7,1.0,1.0
15.0,35.0,34.0,3.0,8.0,5.15,2.0,1.0
12.0,64.0,9.0,2.0,6.0,3.8,3.0,0.0
5.0,30.0,46.0,4.0,7.0,4.3,2.0,1.0
32.0,27.0,91.0,4.0,1.0,5.5,4.0,1.0
14.0,36.0,67.0,5.0,4.0,14.05,1.0,0.0
